Property #,Address,Sales Date,HSETYPE,One and a Half Storey,Two Storey,AGEYR,LOTAREA,LFA,Discurb,EXTAMEN,Minor Exterior Amenities,Two or Three Extra Amenities,More than Three Exterior Amenities,EXTFINFACTOR,Only Brick,GAR,Carport,One Car Garage,Two Car Garage,STSCAPE,Average View,Good View,CENAIR,POOL,INTCOND,Average Interior Condition,Good Interior Condition,Excellent Interior Condition,BSMTFINAREA,BI AMEN APPL,LANESRD, TRAFCOUNT , PRICE 
88,360 Boler Rd,11/29/2002,0,0,0,50,760,757,28,0,0,0,0,1,0,1,1,0,0,3,1,0,1,0,3,1,0,0,757,0,0,11000,134900
27,199 Wharncljffe Rd N,12/20/2001,3,0,1,65,2789,719,13.77,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,26000,120000
102,258 Wharncliffe Rd,5/31/2002,3,0,1,70,3150,0,9,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,1,33000,117000
103,344 Wharncliffe Rd,2/11/2003,0,0,0,50,3181,769,11,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,1,33000,84900
13,1230 Oxford St W,9/22/2000,0,0,0,16,3200,1100,62.99,2,0,1,0,1,0,1,1,0,0,3,1,0,1,0,7,0,0,1,1009,1,0,18000,148000
95,570 Oxford E,12/13/2002,3,0,1,70,3300,1242,16,1,1,0,0,1,0,1,1,0,0,3,1,0,1,0,5,0,1,0,0,0,1,30000,229900
28,163 Wharncliffe Rd N,8/31/2001,0,0,0,40,3500,583,27.55,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,560,5,1,25000,105000
8,638 Oxford St E,2/16/1999,3,0,1,50,3808,682,23.95,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,230,0,1,33000,100000
58,67 Riverside Dr,2/1/2002,0,0,0,44,3872,752,30.18,2,0,1,0,1,0,0,0,0,0,3,1,0,0,0,3,1,0,0,660,3,1,25000,118900
26,201 Wharncliffe Rd N,12/20/2001,3,0,1,65,4272,846,14.43,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,26000,120000
101,190 Wharncliffe Rd,5/1/2003,3,0,1,80,4320,745,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,33000,119900
9,408 Oxford St E,5/29/1998,2,1,0,60,4400,1280,39.04,2,0,1,0,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,30000,105000
11,104 Oxford St W,8/18/2001,0,0,0,60,4400,606,17.06,1,1,0,0,1,0,0,0,0,0,3,1,0,1,0,3,1,0,0,135,1,1,34000,103000
97,692 Oxford St E,3/31/2003,0,0,0,60,4560,644,19,0,0,0,0,2,0,1,1,0,0,3,1,0,0,0,3,1,0,0,280,0,1,32000,99900
12,108 Oxford St W,5/15/2000,0,0,0,60,4620,665,16.07,2,0,1,0,1,0,0,0,0,0,3,1,0,1,0,5,0,1,0,482,1,1,34000,112000
30,379 Wharncliffe Rd S,2/28/2002,2,1,0,60,4792,1184,15.41,2,0,1,0,3,1,1,1,0,0,1,0,0,0,0,3,1,0,0,505,0,1,33000,109000
60,144 Springbank Dr,1/5/2002,0,0,0,48,4950,742,25.91,1,1,0,0,3,1,1,1,0,0,3,1,0,0,0,1,0,0,0,396,6,0,23000,102000
98,1045 Oxford St. E,7/15/2002,0,0,0,65,4987,427,16,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,32000,69900
85,253 Riverside Dr,11/29/2002,0,0,0,75,5000,808,16,0,0,0,0,2,0,2,0,1,0,3,1,0,0,0,3,1,0,0,382,0,0,18500,99900
99,1053 Oxford St E,1/1/2003,0,0,0,50,5200,919,14,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,3,1,0,0,480,0,1,32000,124500
51,338 Riverside Dr,5/31/1999,0,0,0,45,5240,487,54.46,1,1,0,0,2,0,1,1,0,0,3,1,0,0,0,1,0,0,0,436,0,0,19000,111000
59,65 Riverside Dr,12/28/2001,0,0,0,48,5489,529,14.76,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,3,1,0,0,529,3,1,25000,101000
83,543 Boler Rd,3/10/1998,0,0,0,0,5492,864,34.44,0,0,0,0,3,1,1,1,0,0,5,0,1,0,0,7,0,0,1,0,1,0,11000,131800
94,1278 Springbank Ave,3/1/2002,0,0,0,33,5535,714,15,1,1,0,0,2,0,0,0,0,0,5,0,1,1,1,3,1,0,0,489,0,0,0,119900
63,359 Springbank Dr,7/20/1999,0,0,0,55,5550,890,14.76,3,0,0,1,3,1,1,1,0,0,1,0,0,1,1,3,1,0,0,414,2,0,23000,109500
29,95 Wharncliffe Rd N,6/15/1998,3,0,1,65,5989,948,21.98,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,5,0,1,0,0,0,1,24000,108000
67,317 Boler Rd,4/8/1999,0,0,0,55,6075,1071,33.46,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,170,3,0,11000,117900
100,1187 Oxford St E,4/10/2003,0,0,0,60,6103,628,14,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,3,1,0,0,562,0,1,32000,116900
55,251 Riverside Dr,8/4/1998,2,1,0,70,6325,1280,13.45,3,0,0,1,3,1,2,0,1,0,5,0,1,1,0,3,1,0,0,0,2,0,19000,126000
84,251 Riverside Dr,5/26/2003,2,1,0,75,6325,1202,11,0,0,0,0,1,0,2,0,1,0,3,1,0,1,0,3,1,0,0,0,0,0,18500,149900
61,335 Springbank Dr,10/29/2001,0,0,0,52,6813,742,38.05,1,1,0,0,1,0,1,1,0,0,3,1,0,1,0,5,0,1,0,431,0,0,23000,118000
96,644 Oxford St E,4/26/2002,3,0,1,25,6902,1233,34,0,0,0,0,3,1,0,0,0,0,3,1,0,1,0,3,1,0,0,567,0,1,33000,129900
7,644 Oxford St E,2/14/2002,3,0,1,25,6920,1229,59.05,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,3,1,0,0,557,0,1,33000,127000
39,774 Riverside Dr,10/2/1999,2,1,0,118,6970,1055,51.83,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,3,0,14000,148500
41,747 Riverside Dr,5/20/1998,0,0,0,40,6970,1381,27.23,2,0,1,0,3,1,2,0,1,0,1,0,0,1,0,5,0,1,0,648,4,0,14000,133000
42,747 Riverside Dr,2/13/1999,0,0,0,41,6970,1381,27.23,2,0,1,0,3,1,2,0,1,0,1,0,0,1,0,5,0,1,0,648,4,0,14000,158000
57,130 Riverside Dr,11/18/1999,0,0,0,27,7260,662,20.34,1,1,0,0,1,0,1,1,0,0,3,1,0,0,0,5,0,1,0,561,0,1,24000,114000
5,1176 Oxford St E,4/30/2001,3,0,1,52,7275,999,33.79,2,0,1,0,3,1,1,1,0,0,3,1,0,1,0,3,1,0,0,352,0,1,29000,109000
65,405 Springbank Dr,7/29/1999,0,0,0,48,7500,782,61.67,3,0,0,1,3,1,1,1,0,0,5,0,1,1,0,5,0,1,0,312,0,0,23000,139000
2,1390 Oxford St E,1/19/1998,0,0,0,45,7560,642,26.25,2,0,1,0,2,0,1,1,0,0,3,1,0,1,0,5,0,1,0,559,6,1,30000,115500
3,1390 Oxford St E,9/29/1999,0,0,0,44,7560,642,26.25,2,0,1,0,2,0,1,1,0,0,3,1,0,1,0,5,0,1,0,559,6,1,30000,115000
46,435 Riverside Dr,11/18/2001,0,0,0,45,7580,1008,55.11,2,0,1,0,1,0,1,1,0,0,3,1,0,0,0,3,1,0,0,490,0,0,18500,139000
69,366 Boler Rd,3/8/1998,0,0,0,55,7608,733,44.29,2,0,1,0,2,0,1,1,0,0,3,1,0,1,0,3,1,0,0,487,0,0,11000,121000
54,259 Riverside Dr,11/5/2000,0,0,0,75,8017,947,52.49,2,0,1,0,4,0,0,0,0,0,3,1,0,0,0,5,0,1,0,0,1,0,19000,145000
93,1283 Springbank Ave,1/30/2003,2,1,0,70,8029,826,16,1,1,0,0,3,1,0,0,0,0,5,0,1,1,0,3,1,0,0,0,0,0,0,139900
52,275 Riverside Dr,6/6/2000,3,0,1,65,8047,1050,29.19,3,0,0,1,4,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,19000,127000
53,269 Riverside Dr,5/25/2001,3,0,1,70,8062,1186,22.96,0,0,0,0,3,1,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,19000,106000
56,235 Riverside Dr,5/25/1999,0,0,0,60,8062,734,25.59,3,0,0,1,2,0,1,1,0,0,3,1,0,1,0,5,0,1,0,0,0,0,19000,117500
104,372 Wharncliffe Rd,7/19/2002,0,0,0,51,8300,763,49,0,0,0,0,1,0,1,1,0,0,5,0,1,1,0,5,0,1,0,763,0,0,33000,139900
64,371 Springbank Dr,12/19/2000,0,0,0,55,8325,1034,32.15,3,0,0,1,3,1,1,1,0,0,5,0,1,1,0,5,0,1,0,463,4,0,23000,145000
6,987 Oxford St E,1/21/2002,0,0,0,50,8475,735,20.67,2,0,1,0,1,0,1,1,0,0,3,1,0,0,0,7,0,0,1,202,0,1,32000,106000
62,343 Springbank Dr,10/25/1999,2,1,0,55,8475,985,41.99,2,0,1,0,1,0,1,1,0,0,5,0,1,1,0,7,0,0,1,241,0,0,23000,130000
4,1374 Oxford St E,8/31/1999,0,0,0,48,8750,928,27.56,1,1,0,0,2,0,1,1,0,0,3,1,0,1,0,3,1,0,0,429,1,1,36000,110000
92,1315 Springbank Ave,11/18/2002,0,0,0,50,9090,723,28,1,1,0,0,2,0,1,1,0,0,5,0,1,1,0,3,1,0,0,645,0,0,0,156000
68,359 Boler Rd,5/19/2001,0,0,0,48,9350,640,33.79,3,0,0,1,3,1,1,1,0,0,5,0,1,1,0,7,0,0,1,557,3,0,11000,137000
70,373 Boler Rd,6/21/1999,0,0,0,51,9350,759,30.51,3,0,0,1,3,1,0,0,0,0,3,1,0,0,1,3,1,0,0,652,0,0,11000,119900
71,375 Boler Rd,11/17/2000,0,0,0,50,9350,831,36.41,1,1,0,0,3,1,1,1,0,0,3,1,0,1,0,3,1,0,0,0,0,0,11000,126000
72,377 Boler Rd,4/8/2001,0,0,0,50,9350,1002,38.38,1,1,0,0,3,1,1,1,0,0,5,0,1,1,1,5,0,1,0,479,0,0,11000,137000
73,377 Boler Rd,1/22/1998,0,0,0,48,9350,1002,38.38,1,1,0,0,3,1,1,1,0,0,5,0,1,1,1,5,0,1,0,479,0,0,11000,139900
74,385 Boler Rd,7/14/2001,2,1,0,50,9350,925,44.61,2,0,1,0,2,0,1,1,0,0,3,1,0,1,0,7,0,0,1,0,0,0,11000,139000
75,401 Boler Rd,6/16/1999,0,0,0,55,9350,723,42.65,3,0,0,1,1,0,1,1,0,0,5,0,1,1,0,5,0,1,0,178,1,0,11000,128000
91,373 Boler Rd,10/2/2002,0,0,0,45,9350,760,22,1,1,0,0,1,0,0,0,0,0,3,1,0,1,1,3,1,0,0,651,0,0,11000,139900
23,790 Oxford St W,11/24/1998,0,0,0,40,9750,1112,49.86,2,0,1,0,1,0,1,1,0,0,1,0,0,0,0,5,0,1,0,693,1,0,21000,127700
22,808 Oxford St W,5/25/2000,0,0,0,40,10398,745,50.85,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,7,0,0,1,521,3,0,23000,138900
24,770 Oxford St W,10/16/2000,0,0,0,42,10800,723,50.19,1,1,0,0,3,1,0,0,0,0,1,0,0,1,0,3,1,0,0,723,0,0,23000,106000
25,746 Oxford St W,8/7/1998,0,0,0,48,10800,860,48.22,2,0,1,0,3,1,2,0,1,0,3,1,0,0,1,3,1,0,0,561,0,0,21000,118000
43,649 Riverside Dr,3/22/1999,0,0,0,42,10875,865,58.07,2,0,1,0,1,0,2,0,1,0,3,1,0,1,0,5,0,1,0,708,2,0,14000,149000
21,814 Oxford St W,7/9/2000,0,0,0,40,11248,852,46.91,3,0,0,1,1,0,1,1,0,0,3,1,0,1,1,7,0,0,1,490,3,0,23000,150500
18,922 Oxford St W,1/24/2002,0,0,0,44,11250,777,61.61,2,0,1,0,3,1,1,1,0,0,3,1,0,1,1,3,1,0,0,714,1,0,23000,144000
19,898 Oxford St W,10/10/2000,0,0,0,40,11250,857,73.16,2,0,1,0,1,0,1,1,0,0,3,1,0,0,0,5,0,1,0,643,5,0,23000,114000
20,880 Oxford St W,4/29/2001,0,0,0,42,11250,1380,73.16,2,0,1,0,3,1,3,0,0,1,3,1,0,1,0,5,0,1,0,1134,3,0,23000,147000
15,1218 Oxford St W,7/26/2001,0,0,0,24,11270,1015,75.44,2,0,1,0,3,1,0,0,0,0,3,1,0,1,0,5,0,1,0,552,0,0,18000,133000
14,1224 Oxford St W,2/22/2002,0,0,0,23,11500,743,81.36,1,1,0,0,3,1,0,0,0,0,3,1,0,1,0,3,1,0,0,522,3,0,18000,117000
10,91 Oxford St W,12/21/1998,3,0,1,100,11556,1300,21.65,3,0,0,1,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,36000,113000
38,803 Riverside Dr,5/25/1999,0,0,0,45,11797,821,72.83,2,0,1,0,1,0,1,1,0,0,3,1,0,0,1,5,0,1,0,450,4,0,14000,185000
86,334 Riverside Dr,8/12/2002,0,0,0,50,11880,939,18,2,0,1,0,2,0,0,0,0,0,3,1,0,0,0,5,0,1,0,807,0,0,18500,249900
17,946 Oxford St W,9/27/1999,0,0,0,39,12000,866,41.33,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,668,0,0,23000,139000
1,1449 Oxford St.E,2/19/1999,0,0,0,40,12300,674,52.82,1,1,0,0,3,1,1,1,0,0,3,1,0,1,0,3,1,0,0,420,1,1,30000,102000
50,346 Riverside Dr,3/20/2000,3,0,1,48,15104,1085,38.71,2,0,1,0,3,1,1,1,0,0,5,0,1,0,0,3,1,0,0,578,0,0,18500,157000
49,354 Riverside Dr,6/30/2000,0,0,0,48,15438,868,50.85,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,1,0,0,0,664,0,0,18500,140000
37,831 Riverside Dr,4/19/2001,0,0,0,65,16174,1563,62.99,2,0,1,0,1,0,2,0,1,0,3,1,0,0,1,5,0,1,0,384,1,0,14000,182000
90,457 Boler Rd,11/1/2002,0,0,0,33,16879,774,21,1,1,0,0,1,0,1,1,0,0,3,1,0,1,1,5,0,1,0,289,0,0,11000,149900
40,753 Riverside Dr,1/26/1998,0,0,0,40,17173,897,63.97,2,0,1,0,3,1,1,1,0,0,1,0,0,1,0,3,1,0,0,737,0,0,14000,143000
81,524 Boler Rd,8/30/1998,0,0,0,55,18275,862,39.37,2,0,1,0,5,0,0,0,0,0,3,1,0,1,0,5,0,1,0,100,0,0,11000,144000
80,503 Boler Rd,2/25/2000,0,0,0,40,19181,901,40.68,2,0,1,0,3,1,1,1,0,0,3,1,0,1,0,5,0,1,0,901,2,0,11000,131000
16,1216 Oxford St W,10/19/2001,0,0,0,46,19500,1084,69.55,0,0,0,0,3,1,2,0,1,0,1,0,0,0,0,5,0,1,0,0,1,0,18000,135800
78,501 Boler Rd,9/24/2001,0,0,0,41,19693,900,50.85,3,0,0,1,1,0,2,0,1,0,5,0,1,1,0,7,0,0,1,697,3,0,11000,180000
79,501 Boler Rd,2/8/1998,0,0,0,38,19693,900,50.85,3,0,0,1,1,0,2,0,1,0,5,0,1,1,0,7,0,0,1,697,3,0,11000,165000
76,458 Boler Rd,9/15/2000,0,0,0,48,19800,1336,47.57,2,0,1,0,3,1,2,0,1,0,5,0,1,1,0,5,0,1,0,0,0,0,11000,139000
77,458 Boler Rd,8/13/1999,0,0,0,47,19800,1336,47.57,2,0,1,0,3,1,2,0,1,0,5,0,1,1,0,5,0,1,0,0,0,0,11000,139000
47,361 Riverside Dr,5/14/1998,3,0,1,50,20309,1202,38.38,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,698,3,0,18500,152500
89,540 Boler Rd,7/26/2002,0,0,0,26,20559,749,36,1,1,0,0,3,1,2,0,1,0,3,1,0,1,1,5,0,1,0,459,0,0,11000,169900
82,528 Boler Rd,11/2/1999,0,0,0,30,23186,870,71.85,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,7,0,0,1,697,1,0,11000,156900
66,752 Springbank Dr,6/19/2001,0,0,0,45,24012,1019,85.3,3,0,0,1,1,0,1,1,0,0,5,0,1,1,0,7,0,0,1,654,1,0,13000,193500
31,791 Wharncliffe Rd S,5/17/2000,0,0,0,37,24075,1140,112.2,0,0,0,0,1,0,1,1,0,0,5,0,1,0,0,3,1,0,0,0,1,1,25500,178000
45,464 Riverside Dr,5/31/2001,0,0,0,47,25800,822,86.61,2,0,1,0,3,1,1,1,0,0,5,0,1,0,0,5,0,1,0,682,0,0,18500,158000
44,472 Riverside Dr,11/13/1999,0,0,0,37,29322,773,64.63,2,0,1,0,2,0,1,1,0,0,3,1,0,0,1,3,1,0,0,732,4,0,18500,168000
48,358 Riverside Dr,4/23/2000,0,0,0,40,36726,1076,57.08,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,566,3,0,18500,163000
32,2123 Wharncliffe Rd S,7/15/1998,0,0,0,33,38300,1108,136.48,1,1,0,0,1,0,1,1,0,0,5,0,1,0,0,3,1,0,0,448,5,1,19000,168000
33,2133 Wharncliffe Rd S,7/24/2001,0,0,0,45,38300,677,126.96,0,0,0,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,110,0,1,19000,127000
34,2133 Wharncliffe Rd S,5/25/2000,0,0,0,45,38300,677,126.96,0,0,0,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,110,0,1,19000,128000
35,2237 Wharncliffe Rd S,2/2/2002,2,1,0,45,38300,1674,147.3,0,0,0,0,3,1,2,0,1,0,3,1,0,0,0,3,1,0,0,0,4,1,19000,196000
36,1081 Riverside Dr,5/3/2000,3,0,1,65,43688,1304,40.02,1,1,0,0,3,1,1,1,0,0,3,1,0,0,0,5,0,1,0,425,3,0,11000,144900
87,332 Riverside Dr,6/15/2002,0,0,0,50,48787,645,12,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,3,1,0,0,645,0,0,18500,169900
